timestamp,centuries_1,centuries_2,centuries_3,centuries_4,centuries_5,centuries_6,centuries_7,centuries_8,centuries_9,centuries_10,centuries_11,centuries_12,centuries_13,centuries_14,centuries_15,centuries_16,centuries_17,centuries_18,centuries_19,centuries_20,centuries_21,centuries_22
2013-12-31,58.0,25.0,29.0,39.0,21.0,27.0,48.0,29.0,24.0,16.0,31.0,43.0,57.0,48.0,53.0,118.0,152.0,265.0,794.0,835.0,439.0,7.0
2014-12-31,578.0,298.0,255.0,359.0,224.0,310.0,553.0,302.0,263.0,304.0,315.0,463.0,583.0,531.0,945.0,1324.0,1570.0,2902.0,8239.0,8815.0,5395.0,100.0
2015-12-31,585.0,278.0,262.0,281.0,257.0,363.0,761.0,397.0,341.0,355.0,328.0,531.0,701.0,652.0,1015.0,1392.0,1751.0,2948.0,8303.0,8980.0,6084.0,106.0
2016-12-31,643.0,359.0,287.0,368.0,390.0,440.0,930.0,511.0,489.0,539.0,547.0,733.0,981.0,907.0,1415.0,2268.0,2894.0,4936.0,13334.0,14156.0,8798.0,182.0
2017-12-31,1198.0,538.0,504.0,673.0,571.0,557.0,1080.0,667.0,650.0,729.0,652.0,859.0,1170.0,1134.0,1815.0,2838.0,3671.0,6162.0,16751.0,18714.0,9428.0,270.0
2018-12-31,1123.0,665.0,508.0,669.0,472.0,724.0,846.0,495.0,526.0,673.0,551.0,748.0,1131.0,1145.0,1669.0,2490.0,3368.0,5829.0,15496.0,16476.0,7942.0,192.0
2019-12-31,1288.0,706.0,653.0,786.0,554.0,798.0,875.0,605.0,531.0,654.0,501.0,789.0,1067.0,1106.0,1422.0,2444.0,3105.0,5274.0,14097.0,15527.0,7433.0,225.0
2020-12-31,1469.0,710.0,668.0,809.0,488.0,750.0,854.0,607.0,587.0,676.0,641.0,859.0,1188.0,1368.0,1876.0,2973.0,3709.0,6489.0,18331.0,19791.0,10167.0,192.0
2021-12-31,1607.0,896.0,832.0,915.0,620.0,817.0,990.0,589.0,581.0,770.0,618.0,869.0,1351.0,1324.0,1908.0,3121.0,3751.0,6600.0,18311.0,19707.0,10047.0,244.0
2022-12-31,129.0,65.0,53.0,81.0,44.0,41.0,41.0,27.0,28.0,45.0,68.0,66.0,110.0,87.0,135.0,224.0,236.0,388.0,1232.0,1265.0,604.0,24.0
