timestamp,years_1000,years_1054,years_1066,years_1400,years_1453,years_1488,years_1492,years_1500,years_1600,years_1666,years_1683,years_1688,years_1700,years_1750,years_1775,years_1776,years_1783,years_1788,years_1789,years_1790,years_1791,years_1792,years_1795,years_1800,years_1804,years_1812,years_1814,years_1815,years_1820,years_1821,years_1830,years_1832,years_1840,years_1845,years_1848,years_1850,years_1856,years_1857,years_1859,years_1860,years_1861,years_1862,years_1863,years_1864,years_1865,years_1866,years_1867,years_1868,years_1869,years_1870,years_1871,years_1872,years_1875,years_1876,years_1877,years_1878,years_1879,years_1880,years_1881,years_1882,years_1883,years_1884,years_1885,years_1886,years_1887,years_1888,years_1889,years_1890,years_1891,years_1892,years_1893,years_1894,years_1895,years_1896,years_1897,years_1898,years_1899,years_1900,years_1901,years_1902,years_1903,years_1904,years_1905,years_1906,years_1907,years_1908,years_1909,years_1910,years_1911,years_1912,years_1913,years_1914,years_1915,years_1916,years_1917,years_1918,years_1919,years_1920,years_1921,years_1922,years_1923,years_1924,years_1925,years_1926,years_1927,years_1928,years_1929,years_1930,years_1931,years_1932,years_1933,years_1934,years_1935,years_1936,years_1937,years_1938,years_1939,years_1940,years_1941,years_1942,years_1943,years_1944,years_1945,years_1946,years_1947,years_1948,years_1949,years_1950,years_1951,years_1952,years_1953,years_1954,years_1955,years_1956,years_1957,years_1958,years_1959,years_1960,years_1961,years_1962,years_1963,years_1964,years_1965,years_1966,years_1967,years_1968,years_1969,years_1970,years_1971,years_1972,years_1973,years_1974,years_1975,years_1976,years_1977,years_1978,years_1979,years_1980,years_1981,years_1982,years_1983,years_1984,years_1985,years_1986,years_1987,years_1988,years_1989,years_1990,years_1991,years_1992,years_1993,years_1994,years_1995,years_1996,years_1997,years_1998,years_1999,years_2000,years_2001,years_2002,years_2003,years_2004,years_2005,years_2006,years_2007,years_2008,years_2009,years_2010,years_2011,years_2012,years_2013,years_2014,years_2015,years_2016,years_2017,years_2018,years_2019,years_2020,years_2021,years_2022,years_2023,years_2024,years_2025,years_2026,years_2027,years_2028,years_2029,years_2030,years_2032,years_2033,years_2035,years_2036,years_2040,years_2049,years_2050,years_2060,years_2070
2013-12-31,13.0,3.0,2.0,10.0,7.0,5.0,17.0,20.0,5.0,0.0,2.0,0.0,12.0,8.0,16.0,55.0,7.0,3.0,37.0,6.0,10.0,10.0,6.0,52.0,0.0,39.0,18.0,17.0,13.0,2.0,9.0,3.0,14.0,10.0,30.0,34.0,4.0,14.0,5.0,25.0,15.0,13.0,13.0,9.0,23.0,6.0,7.0,7.0,9.0,27.0,43.0,4.0,8.0,9.0,8.0,9.0,9.0,27.0,12.0,9.0,6.0,14.0,16.0,20.0,13.0,10.0,11.0,37.0,10.0,9.0,8.0,13.0,22.0,16.0,16.0,9.0,12.0,97.0,26.0,16.0,22.0,14.0,40.0,19.0,22.0,12.0,12.0,53.0,80.0,26.0,94.0,81.0,46.0,21.0,90.0,78.0,64.0,120.0,40.0,38.0,31.0,40.0,25.0,22.0,18.0,45.0,76.0,118.0,36.0,70.0,206.0,70.0,47.0,89.0,56.0,135.0,207.0,208.0,222.0,145.0,134.0,128.0,314.0,68.0,62.0,127.0,67.0,244.0,39.0,36.0,46.0,44.0,38.0,38.0,28.0,42.0,27.0,138.0,70.0,58.0,78.0,108.0,100.0,38.0,69.0,132.0,64.0,179.0,52.0,67.0,78.0,61.0,82.0,77.0,63.0,82.0,91.0,223.0,63.0,74.0,105.0,442.0,103.0,88.0,86.0,101.0,130.0,258.0,163.0,149.0,154.0,205.0,192.0,209.0,159.0,204.0,227.0,592.0,414.0,240.0,318.0,314.0,348.0,404.0,396.0,684.0,529.0,661.0,655.0,837.0,2554.0,1377.0,238.0,504.0,64.0,36.0,22.0,150.0,9.0,23.0,7.0,21.0,38.0,6.0,12.0,9.0,5.0,86.0,4.0,14.0,12.0,3.0,23.0,0.0,115.0,17.0,2.0
2014-12-31,63.0,45.0,110.0,93.0,157.0,63.0,253.0,123.0,76.0,13.0,49.0,61.0,107.0,115.0,90.0,640.0,113.0,140.0,392.0,66.0,81.0,82.0,61.0,545.0,57.0,439.0,197.0,151.0,152.0,69.0,190.0,64.0,165.0,75.0,315.0,447.0,67.0,83.0,92.0,414.0,215.0,106.0,106.0,134.0,314.0,60.0,104.0,84.0,80.0,405.0,324.0,64.0,56.0,75.0,71.0,84.0,77.0,271.0,135.0,112.0,105.0,103.0,92.0,86.0,102.0,81.0,111.0,337.0,79.0,68.0,69.0,119.0,134.0,117.0,117.0,156.0,158.0,1077.0,194.0,160.0,219.0,149.0,295.0,141.0,185.0,151.0,107.0,434.0,599.0,327.0,775.0,1128.0,320.0,339.0,1089.0,1092.0,686.0,1333.0,338.0,375.0,279.0,297.0,277.0,169.0,220.0,269.0,593.0,1278.0,238.0,416.0,1758.0,560.0,432.0,630.0,499.0,1008.0,1933.0,1801.0,1603.0,1287.0,984.0,1355.0,3164.0,648.0,731.0,1576.0,528.0,2651.0,314.0,296.0,428.0,517.0,415.0,380.0,266.0,391.0,339.0,1860.0,504.0,509.0,499.0,901.0,1297.0,442.0,1121.0,1100.0,757.0,1874.0,656.0,774.0,939.0,687.0,830.0,784.0,492.0,621.0,1021.0,2478.0,686.0,838.0,779.0,4273.0,869.0,934.0,817.0,991.0,1409.0,2534.0,2049.0,1759.0,1847.0,1918.0,1738.0,1679.0,1799.0,1894.0,2085.0,5897.0,3872.0,2405.0,3484.0,3841.0,3764.0,4570.0,4941.0,8165.0,5601.0,8110.0,6801.0,10144.0,7532.0,37231.0,5192.0,7833.0,1024.0,701.0,261.0,2406.0,175.0,182.0,75.0,360.0,474.0,68.0,85.0,85.0,81.0,1025.0,51.0,75.0,103.0,33.0,352.0,6.0,1855.0,208.0,36.0
2015-12-31,94.0,67.0,107.0,106.0,194.0,80.0,305.0,96.0,88.0,39.0,93.0,40.0,156.0,86.0,112.0,1110.0,102.0,130.0,395.0,66.0,98.0,92.0,70.0,683.0,62.0,750.0,190.0,205.0,133.0,98.0,252.0,65.0,136.0,75.0,336.0,493.0,80.0,81.0,92.0,450.0,285.0,85.0,126.0,128.0,370.0,109.0,196.0,110.0,90.0,346.0,313.0,44.0,118.0,104.0,59.0,105.0,57.0,304.0,91.0,100.0,84.0,84.0,139.0,74.0,80.0,86.0,142.0,344.0,44.0,79.0,93.0,106.0,141.0,119.0,90.0,150.0,117.0,1166.0,182.0,117.0,205.0,148.0,324.0,161.0,170.0,149.0,109.0,512.0,889.0,360.0,575.0,939.0,551.0,434.0,1075.0,1172.0,695.0,1428.0,298.0,382.0,268.0,256.0,276.0,177.0,189.0,335.0,519.0,1335.0,224.0,468.0,1385.0,469.0,388.0,542.0,474.0,946.0,2150.0,2045.0,1521.0,1171.0,878.0,1368.0,4137.0,666.0,729.0,1325.0,484.0,2794.0,263.0,337.0,564.0,383.0,437.0,449.0,243.0,320.0,342.0,2157.0,446.0,484.0,475.0,963.0,1453.0,409.0,1059.0,1286.0,798.0,2069.0,771.0,778.0,984.0,738.0,895.0,688.0,558.0,654.0,1127.0,2878.0,807.0,1125.0,718.0,4761.0,1031.0,1055.0,848.0,1225.0,1469.0,3114.0,2207.0,2106.0,1537.0,1876.0,2060.0,2077.0,1917.0,1935.0,2615.0,7594.0,4451.0,2617.0,3576.0,3772.0,4174.0,4529.0,5086.0,10514.0,5053.0,8076.0,7138.0,11370.0,8136.0,10348.0,42452.0,19980.0,3417.0,1716.0,572.0,4953.0,282.0,302.0,98.0,499.0,878.0,88.0,100.0,135.0,63.0,2013.0,57.0,129.0,195.0,50.0,465.0,12.0,2536.0,288.0,53.0
2016-12-31,161.0,137.0,216.0,166.0,307.0,648.0,454.0,117.0,138.0,45.0,177.0,87.0,220.0,136.0,214.0,2219.0,141.0,217.0,655.0,183.0,144.0,126.0,120.0,1030.0,143.0,1393.0,299.0,349.0,222.0,184.0,340.0,86.0,235.0,138.0,623.0,780.0,116.0,110.0,122.0,825.0,408.0,115.0,147.0,219.0,569.0,163.0,330.0,182.0,141.0,648.0,654.0,171.0,108.0,148.0,134.0,195.0,96.0,564.0,115.0,127.0,114.0,137.0,252.0,120.0,111.0,212.0,232.0,596.0,107.0,153.0,116.0,99.0,172.0,185.0,165.0,249.0,161.0,1915.0,330.0,172.0,409.0,262.0,543.0,277.0,245.0,397.0,172.0,813.0,1689.0,837.0,990.0,1793.0,754.0,950.0,2002.0,2407.0,1448.0,2486.0,623.0,629.0,500.0,469.0,337.0,308.0,280.0,510.0,797.0,2696.0,332.0,802.0,2652.0,756.0,622.0,1165.0,696.0,1705.0,3935.0,3538.0,2343.0,2017.0,1586.0,2162.0,7250.0,1186.0,1172.0,1662.0,823.0,4399.0,402.0,604.0,677.0,633.0,647.0,683.0,463.0,560.0,509.0,4182.0,765.0,696.0,877.0,1882.0,3750.0,607.0,1316.0,2634.0,1139.0,3535.0,1263.0,1537.0,1543.0,1261.0,1486.0,1393.0,723.0,984.0,1792.0,6088.0,1401.0,1804.0,1250.0,10121.0,1663.0,2014.0,1487.0,2592.0,2803.0,5233.0,3514.0,4158.0,2895.0,3357.0,4039.0,4020.0,3354.0,3975.0,4886.0,16210.0,6923.0,4446.0,5685.0,8401.0,7094.0,9115.0,9752.0,25845.0,9356.0,13288.0,12806.0,33208.0,13275.0,18660.0,25254.0,100605.0,14624.0,6719.0,2057.0,22778.0,830.0,759.0,290.0,3204.0,1376.0,390.0,198.0,448.0,124.0,3772.0,264.0,262.0,220.0,225.0,1053.0,35.0,3939.0,517.0,99.0
2017-12-31,193.0,175.0,286.0,190.0,395.0,1756.0,609.0,143.0,137.0,159.0,223.0,259.0,237.0,211.0,243.0,2860.0,172.0,192.0,674.0,228.0,232.0,151.0,200.0,1199.0,159.0,1338.0,269.0,377.0,283.0,249.0,381.0,104.0,302.0,161.0,718.0,962.0,176.0,166.0,155.0,841.0,693.0,258.0,242.0,299.0,797.0,199.0,354.0,280.0,131.0,731.0,869.0,110.0,175.0,145.0,185.0,212.0,123.0,671.0,148.0,172.0,135.0,189.0,251.0,146.0,135.0,203.0,351.0,776.0,132.0,165.0,181.0,143.0,240.0,239.0,265.0,316.0,274.0,2430.0,356.0,251.0,446.0,292.0,667.0,336.0,328.0,376.0,195.0,1093.0,1466.0,759.0,1698.0,2107.0,790.0,1038.0,3600.0,3220.0,1783.0,3395.0,891.0,989.0,764.0,856.0,521.0,411.0,451.0,706.0,1170.0,3885.0,623.0,1245.0,3990.0,1286.0,1050.0,1543.0,1112.0,2076.0,5386.0,4733.0,3591.0,2624.0,2105.0,3072.0,9617.0,1290.0,1539.0,2256.0,1192.0,5859.0,538.0,753.0,1207.0,845.0,1000.0,926.0,748.0,803.0,695.0,4827.0,1036.0,1005.0,1318.0,1833.0,7782.0,832.0,1805.0,2388.0,1606.0,4341.0,1444.0,1645.0,1989.0,1764.0,2059.0,1341.0,1341.0,1401.0,2461.0,5763.0,1477.0,1885.0,1586.0,12139.0,2057.0,2251.0,1814.0,2193.0,3180.0,6461.0,3983.0,3759.0,3081.0,3413.0,4832.0,3875.0,4082.0,3988.0,5360.0,14444.0,8438.0,5582.0,6771.0,7507.0,9058.0,10104.0,11235.0,17620.0,11307.0,16654.0,14519.0,19111.0,16142.0,20649.0,32750.0,50288.0,67129.0,27449.0,5536.0,40709.0,2043.0,1895.0,461.0,5074.0,2033.0,444.0,608.0,557.0,184.0,4312.0,310.0,340.0,299.0,246.0,1401.0,133.0,5383.0,741.0,158.0
2018-12-31,169.0,168.0,219.0,183.0,249.0,1446.0,587.0,133.0,157.0,184.0,126.0,187.0,246.0,174.0,277.0,2918.0,335.0,185.0,766.0,284.0,269.0,164.0,178.0,1051.0,162.0,1006.0,243.0,272.0,271.0,210.0,339.0,124.0,280.0,149.0,779.0,827.0,136.0,189.0,145.0,763.0,494.0,194.0,207.0,252.0,713.0,221.0,295.0,242.0,161.0,634.0,630.0,125.0,181.0,196.0,184.0,219.0,176.0,571.0,161.0,171.0,190.0,191.0,248.0,123.0,144.0,203.0,310.0,712.0,148.0,154.0,173.0,159.0,212.0,210.0,259.0,313.0,316.0,2269.0,381.0,209.0,429.0,309.0,595.0,304.0,353.0,360.0,217.0,1034.0,1448.0,744.0,2001.0,1791.0,640.0,873.0,2762.0,2908.0,1762.0,2898.0,743.0,932.0,541.0,900.0,637.0,406.0,377.0,562.0,1077.0,3069.0,508.0,977.0,3389.0,1178.0,1053.0,1176.0,959.0,1940.0,4195.0,4300.0,3246.0,2629.0,2028.0,2678.0,8165.0,1525.0,1425.0,2350.0,1156.0,5075.0,514.0,706.0,966.0,890.0,846.0,884.0,608.0,686.0,666.0,4560.0,1059.0,939.0,1176.0,2146.0,6983.0,849.0,1491.0,2489.0,1541.0,4004.0,1350.0,1516.0,1900.0,1417.0,1756.0,1177.0,1097.0,1190.0,2007.0,5436.0,1559.0,2495.0,1563.0,9927.0,2194.0,2364.0,1746.0,2074.0,3345.0,6018.0,3782.0,3291.0,2937.0,3542.0,3644.0,3360.0,3052.0,3876.0,4451.0,13280.0,7089.0,4590.0,5864.0,6444.0,6525.0,8551.0,8310.0,14870.0,8374.0,13775.0,11215.0,15695.0,11997.0,17699.0,21873.0,63683.0,25252.0,63823.0,11643.0,50052.0,2352.0,2363.0,695.0,6658.0,2081.0,418.0,287.0,1021.0,205.0,4098.0,286.0,301.0,371.0,260.0,1521.0,201.0,4597.0,716.0,162.0
2019-12-31,153.0,194.0,229.0,139.0,249.0,1111.0,584.0,111.0,125.0,160.0,149.0,139.0,208.0,175.0,253.0,2318.0,166.0,131.0,556.0,172.0,212.0,101.0,151.0,1041.0,135.0,839.0,218.0,251.0,221.0,160.0,345.0,158.0,259.0,124.0,590.0,805.0,128.0,183.0,135.0,1010.0,483.0,175.0,186.0,166.0,761.0,156.0,232.0,178.0,94.0,540.0,622.0,113.0,146.0,160.0,140.0,134.0,124.0,489.0,115.0,162.0,106.0,94.0,180.0,140.0,126.0,180.0,221.0,571.0,136.0,109.0,212.0,139.0,180.0,184.0,261.0,275.0,238.0,1951.0,291.0,247.0,385.0,216.0,587.0,276.0,285.0,313.0,247.0,1021.0,1257.0,683.0,2091.0,1464.0,566.0,592.0,2295.0,2137.0,1726.0,2627.0,636.0,884.0,616.0,616.0,644.0,301.0,392.0,422.0,831.0,2554.0,412.0,829.0,3284.0,927.0,1000.0,953.0,851.0,1774.0,4030.0,3582.0,3043.0,2392.0,1965.0,2542.0,7556.0,1394.0,1469.0,2254.0,1019.0,4401.0,509.0,674.0,845.0,897.0,811.0,748.0,609.0,691.0,731.0,4138.0,770.0,916.0,1165.0,1860.0,5752.0,840.0,1502.0,2016.0,1645.0,3952.0,1446.0,1558.0,1915.0,1313.0,1878.0,1194.0,1153.0,1224.0,1987.0,4987.0,1382.0,1629.0,1390.0,7554.0,1913.0,2291.0,1692.0,1895.0,4538.0,5351.0,3333.0,3200.0,2700.0,3034.0,3143.0,2907.0,3309.0,3381.0,4650.0,11913.0,7120.0,4132.0,5042.0,5993.0,6018.0,6869.0,7322.0,12579.0,7461.0,10841.0,9125.0,12399.0,8481.0,13144.0,20390.0,63700.0,22851.0,23228.0,50896.0,86762.0,4208.0,2228.0,958.0,9750.0,2294.0,453.0,393.0,1516.0,478.0,4708.0,332.0,296.0,435.0,215.0,1657.0,172.0,4314.0,610.0,145.0
2020-12-31,225.0,235.0,258.0,183.0,319.0,1299.0,1003.0,164.0,158.0,274.0,115.0,141.0,276.0,198.0,369.0,3642.0,251.0,164.0,969.0,226.0,215.0,189.0,174.0,1467.0,211.0,1053.0,272.0,350.0,425.0,296.0,443.0,209.0,421.0,150.0,716.0,1199.0,192.0,164.0,216.0,1444.0,745.0,252.0,317.0,341.0,1359.0,248.0,312.0,263.0,235.0,798.0,923.0,209.0,168.0,660.0,249.0,273.0,175.0,593.0,192.0,197.0,147.0,196.0,265.0,203.0,244.0,232.0,338.0,1040.0,147.0,201.0,254.0,167.0,262.0,342.0,291.0,312.0,332.0,3183.0,451.0,497.0,476.0,365.0,854.0,286.0,392.0,387.0,389.0,1272.0,1851.0,914.0,2615.0,1750.0,993.0,744.0,4040.0,5317.0,1918.0,4290.0,962.0,919.0,670.0,674.0,676.0,428.0,428.0,615.0,1545.0,3254.0,589.0,1278.0,4053.0,1221.0,980.0,1386.0,1111.0,1830.0,4232.0,4384.0,3239.0,2614.0,2164.0,3009.0,9768.0,1569.0,1466.0,2092.0,1115.0,5558.0,560.0,866.0,973.0,875.0,1004.0,904.0,927.0,821.0,741.0,5728.0,944.0,1189.0,1239.0,2383.0,5661.0,1113.0,1695.0,3408.0,1976.0,4670.0,2195.0,2206.0,1958.0,1627.0,2107.0,1688.0,1324.0,1406.0,2462.0,6616.0,1761.0,1769.0,1477.0,13962.0,2169.0,2313.0,1835.0,2843.0,7543.0,6978.0,4505.0,5230.0,3567.0,4097.0,3887.0,3939.0,3497.0,3932.0,5164.0,21778.0,8471.0,5320.0,8079.0,9071.0,8388.0,8952.0,9646.0,21708.0,12103.0,16550.0,12163.0,21268.0,11523.0,16799.0,27247.0,167517.0,27307.0,37643.0,36172.0,173681.0,20396.0,7825.0,1923.0,27525.0,3602.0,849.0,640.0,2839.0,615.0,7735.0,793.0,516.0,535.0,347.0,2073.0,167.0,4395.0,748.0,200.0
2021-12-31,221.0,242.0,308.0,180.0,267.0,866.0,793.0,151.0,136.0,237.0,111.0,97.0,251.0,203.0,305.0,3708.0,229.0,186.0,891.0,196.0,215.0,259.0,143.0,1370.0,161.0,1122.0,405.0,343.0,254.0,294.0,374.0,210.0,378.0,136.0,618.0,1127.0,160.0,191.0,263.0,1036.0,694.0,281.0,279.0,267.0,1313.0,239.0,347.0,222.0,181.0,811.0,1123.0,161.0,200.0,301.0,173.0,241.0,188.0,643.0,203.0,200.0,209.0,195.0,292.0,215.0,207.0,216.0,322.0,905.0,191.0,233.0,295.0,190.0,301.0,333.0,295.0,345.0,320.0,2718.0,469.0,323.0,431.0,381.0,896.0,305.0,364.0,368.0,428.0,1328.0,1360.0,918.0,3307.0,1683.0,716.0,975.0,3028.0,3228.0,1508.0,3434.0,1419.0,881.0,724.0,705.0,648.0,541.0,397.0,684.0,1154.0,2970.0,610.0,1003.0,3958.0,1206.0,943.0,1212.0,1111.0,1997.0,3842.0,4200.0,3173.0,2243.0,1892.0,2570.0,8680.0,1518.0,1675.0,2153.0,1190.0,5372.0,610.0,785.0,783.0,841.0,1002.0,911.0,668.0,960.0,978.0,5082.0,894.0,1118.0,1076.0,2431.0,5347.0,938.0,1696.0,2385.0,1945.0,4880.0,3050.0,1974.0,2009.0,1474.0,1921.0,1646.0,1159.0,1508.0,2317.0,6486.0,1873.0,1957.0,1650.0,12304.0,2093.0,2050.0,1718.0,2117.0,5069.0,6582.0,4009.0,3525.0,3186.0,3205.0,4178.0,3333.0,3390.0,3597.0,5348.0,16381.0,9800.0,4862.0,6747.0,6970.0,7842.0,7738.0,8934.0,17169.0,10380.0,15756.0,10784.0,15591.0,10212.0,16215.0,22340.0,52730.0,21745.0,21561.0,34146.0,96834.0,82037.0,19957.0,5586.0,27173.0,5055.0,1136.0,836.0,2144.0,546.0,10197.0,425.0,590.0,740.0,221.0,1907.0,271.0,7726.0,761.0,145.0
2022-12-31,24.0,33.0,18.0,8.0,23.0,46.0,41.0,12.0,5.0,13.0,4.0,5.0,24.0,23.0,16.0,177.0,18.0,11.0,58.0,13.0,10.0,7.0,8.0,84.0,19.0,83.0,21.0,32.0,11.0,6.0,15.0,11.0,30.0,10.0,44.0,69.0,16.0,9.0,21.0,71.0,52.0,8.0,25.0,23.0,78.0,13.0,29.0,11.0,8.0,44.0,57.0,9.0,6.0,21.0,21.0,12.0,9.0,48.0,11.0,18.0,31.0,18.0,11.0,13.0,18.0,14.0,28.0,69.0,9.0,10.0,23.0,12.0,18.0,14.0,15.0,15.0,21.0,228.0,25.0,14.0,29.0,16.0,77.0,17.0,18.0,23.0,25.0,85.0,85.0,37.0,227.0,133.0,45.0,49.0,228.0,206.0,109.0,239.0,67.0,73.0,37.0,50.0,48.0,29.0,20.0,44.0,80.0,200.0,106.0,53.0,230.0,84.0,68.0,80.0,79.0,146.0,290.0,279.0,227.0,150.0,136.0,191.0,623.0,109.0,136.0,113.0,78.0,388.0,43.0,67.0,77.0,66.0,86.0,71.0,36.0,83.0,47.0,397.0,53.0,77.0,77.0,166.0,370.0,79.0,120.0,159.0,121.0,326.0,182.0,114.0,122.0,103.0,110.0,108.0,85.0,90.0,108.0,423.0,142.0,150.0,141.0,641.0,180.0,142.0,130.0,172.0,368.0,543.0,347.0,244.0,202.0,303.0,293.0,281.0,287.0,269.0,374.0,1143.0,574.0,335.0,495.0,528.0,567.0,536.0,627.0,1371.0,739.0,1132.0,716.0,1089.0,773.0,1614.0,1658.0,3187.0,1437.0,1498.0,3746.0,8998.0,5106.0,6137.0,553.0,2162.0,455.0,126.0,91.0,152.0,53.0,880.0,36.0,43.0,49.0,18.0,130.0,7.0,504.0,44.0,16.0
